Date,Cases
1/23/20,100
1/24/20,287
1/25/20,493
1/26/20,683
1/27/20,809
1/28/20,2651
1/29/20,589
1/30/20,2068
1/31/20,1690
2/01/2020,2111
2/02/2020,4749
2/03/2020,3100
2/04/2020,4012
2/05/2020,3745
2/06/2020,3162
2/07/2020,3594
2/08/2020,2731
2/09/2020,3031
2/10/2020,2609
2/11/2020,2043
2/12/2020,418
2/13/20,15152
2/14/20,6528
2/15/20,2143
2/16/20,2183
2/17/20,2035
2/18/20,1882
2/19/20,500
2/20/20,561
2/21/20,630
2/22/20,1762
2/23/20,382
2/24/20,568
2/25/20,854
2/26/20,973
2/27/20,1345
2/28/20,1424
2/29/20,1876
3/01/2020,2380
3/02/2020,1983
3/03/2020,2611
3/04/2020,2325
3/05/2020,2717
3/06/2020,3930
3/07/2020,4146
3/08/2020,3850
3/09/2020,4327
3/10/2020,4809
3/11/2020,7520
3/12/2020,6755
3/13/20,13290
3/14/20,10944
3/15/20,11259
3/16/20,14518
3/17/20,15297
3/18/20,17657
3/19/20,27116
3/20/20,29544
3/21/20,32415
3/22/20,34472
3/23/20,42904
3/24/20,42084
3/25/20,51115
3/26/20,61414
3/27/20,63937
3/28/20,69146
3/29/20,56231
3/30/20,65249
3/31/20,78428
4/01/2020,81565
4/02/2020,82307
4/03/2020,84002
4/04/2020,60086
4/05/2020,72025
4/06/2020,74511
4/07/2020,68979
4/08/2020,81997
4/09/2020,86766
4/10/2020,86545
4/11/2020,75419
4/12/2020,118807
4/13/20,71622
4/14/20,84524
4/15/20,77813
4/16/20,94414
4/17/20,87822
4/18/20,78189
4/19/20,76661
4/20/20,75908
4/21/20,76273
4/22/20,81937
4/23/20,82616
4/24/20,84036
4/25/20,83507
4/26/20,70872
4/27/20,70923
4/28/20,75856
4/29/20,77344
4/30/20,83841
5/01/2020,89041
5/02/2020,78353
5/03/2020,74161
5/04/2020,77385
5/05/2020,79639
5/06/2020,90534
5/07/2020,88681
5/08/2020,90433
5/09/2020,84574
5/10/2020,75253
5/11/2020,75976
5/12/2020,85357
5/13/20,84333
5/14/20,95669
5/15/20,96351
5/16/20,94111
5/17/20,78408
5/18/20,89068
5/19/20,95813
5/20/20,105389
5/21/20,105771
5/22/20,107244
5/23/20,104433
5/24/20,93254
5/25/20,88147
5/26/20,92856
5/27/20,102526
5/28/20,119665
5/29/20,121630
5/30/20,135416
5/31/20,103020
6/01/2020,100235
6/02/2020,123157
6/03/2020,111252
6/04/2020,138112
6/05/2020,133646
6/06/2020,129482
6/07/2020,110969
6/08/2020,103071
6/09/2020,126312
6/10/2020,137124
6/11/2020,135840
6/12/2020,127472
6/13/20,133926
6/14/20,131886
6/15/20,124821
6/16/20,144217
6/17/20,143131
6/18/20,142723
6/19/20,181077
6/20/20,185860
6/21/20,93005
6/22/20,142153
6/23/20,168369
6/24/20,171418
6/25/20,179443
6/26/20,192459
6/27/20,176345
6/28/20,168466
6/29/20,152486
6/30/20,183868
7/01/2020,214974
7/02/2020,204631
7/03/2020,202497
7/04/2020,189667
7/05/2020,185981
7/06/2020,167787
7/07/2020,209692
7/08/2020,215114
7/09/2020,224202
7/10/2020,233191
7/11/2020,212820
7/12/2020,192855
7/13/20,194184
7/14/20,221250
7/15/20,229247
7/16/20,244948
7/17/20,237508
7/18/20,235324
7/19/20,211790
7/20/20,207965
7/21/20,243206
7/22/20,275154
7/23/20,279806
7/24/20,283679
7/25/20,250019
7/26/20,212002
7/27/20,234094
7/28/20,264408
7/29/20,270305
7/30/20,281715
7/31/20,287741
8/01/2020,246320
8/02/2020,230799
8/03/2020,205868
8/04/2020,265599
8/05/2020,275166
8/06/2020,286888
8/07/2020,282567
8/08/2020,265358
8/09/2020,233124
8/10/2020,233158
8/11/2020,265915
8/12/2020,274974
8/13/20,290278
8/14/20,307205
8/15/20,249147
8/16/20,209966
8/17/20,212732
8/18/20,259676
8/19/20,277296
8/20/20,271563
8/21/20,261635
8/22/20,263890
8/23/20,202651
8/24/20,227962
8/25/20,245521
8/26/20,281527
8/27/20,287363
8/28/20,284022
8/29/20,260926
8/30/20,219487
8/31/20,264194
9/01/2020,267046
9/02/2020,281723
9/03/2020,285471
9/04/2020,301330
9/05/2020,274095
9/06/2020,228846
9/07/2020,217222
9/08/2020,246461
9/09/2020,285090
9/10/2020,304328
9/11/2020,316045
9/12/2020,288951
9/13/20,248339
9/14/20,266806
9/15/20,280769
9/16/20,304729
9/17/20,315509
9/18/20,326533
9/19/20,293249
9/20/20,254875
9/21/20,259613
9/22/20,284583
9/23/20,311496
9/24/20,320956
9/25/20,330035
9/26/20,285786
9/27/20,246925
9/28/20,262434
9/29/20,282724
9/30/20,324186
10/01/2020,319059
10/02/2020,329276
10/03/2020,297527
10/04/2020,259971
10/05/2020,310787
10/06/2020,315927
10/07/2020,348831
10/08/2020,359153
10/09/2020,359932
10/10/2020,355778
10/11/2020,289153
10/12/2020,289122
10/13/20,319197
10/14/20,380080
10/15/20,406915
10/16/20,410115
10/17/20,372281
10/18/20,330971
10/19/20,373730
10/20/20,388441
10/21/20,438988
10/22/20,481895
10/23/20,493325
10/24/20,456935
10/25/20,358872
10/26/20,482768
10/27/20,467128
10/28/20,520165
10/29/20,550203
10/30/20,571920
10/31/20,473069
11/01/2020,437825
11/02/2020,545798
11/03/2020,563227
11/04/2020,491885
11/05/2020,618101
11/06/2020,620682
11/07/2020,600579
11/08/2020,489378
11/09/2020,507353
11/10/2020,568694
11/11/2020,623867
11/12/2020,641188
11/13/20,662266
11/14/20,586717
11/15/20,490082
11/16/20,522591
11/17/20,600906
11/18/20,621745
11/19/20,653802
11/20/20,674800
11/21/20,594672
11/22/20,498323
11/23/20,529281
11/24/20,591212
11/25/20,617086
11/26/20,593380
11/27/20,694292
11/28/20,607955
11/29/20,496151
11/30/20,501906
12/01/2020,613816
12/02/2020,639819
12/03/2020,691274
12/04/2020,696914
12/05/2020,644217
12/06/2020,544196
12/07/2020,533433
12/08/2020,630611
12/09/2020,665855
12/10/2020,1496704
12/11/2020,708248
12/12/2020,650206
12/13/20,539490
12/14/20,551130
12/15/20,647271
12/16/20,718219
12/17/20,739180
12/18/20,722347
12/19/20,636053
12/20/20,547831
12/21/20,546049
12/22/20,651839
12/23/20,682732
12/24/20,695353
12/25/20,519077
12/26/20,506797
12/27/20,412952
12/28/20,498496
12/29/20,670825
12/30/20,725740
12/31/20,840033
1/01/2021,588054
1/02/2021,580762
1/03/2021,520229
1/04/2021,556417
1/05/2021,741675
1/06/2021,791094
1/07/2021,870836
1/08/2021,836695
1/09/2021,757849
1/10/2021,601837
1/11/2021,614074
1/12/2021,691988
1/13/21,744087
1/14/21,761222
1/15/21,784423
1/16/21,657848
1/17/21,527775
1/18/21,516658
1/19/21,593242
1/20/21,686957
1/21/21,669361
1/22/21,664262
1/23/21,577384
1/24/21,462088
1/25/21,480908
1/26/21,561527
1/27/21,601416
1/28/21,615042
1/29/21,589474
1/30/21,515272
1/31/21,396607
2/01/2021,442564
2/02/2021,465192
2/03/2021,525547
2/04/2021,472024
2/05/2021,537028
2/06/2021,435847
2/07/2021,351815
2/08/2021,339432
2/09/2021,407137
2/10/2021,440315
2/11/2021,444891
2/12/2021,430727
2/13/21,380730
2/14/21,308826
2/15/21,280219
2/16/21,359421
2/17/21,386510
2/18/21,411298
2/19/21,409942
2/20/21,375650
2/21/21,319253
2/22/21,294657
2/23/21,393307
2/24/21,445042
2/25/21,453593
2/26/21,442067
2/27/21,397851
2/28/21,308825
3/01/2021,305036
3/02/2021,313576
3/03/2021,442195
3/04/2021,458796
3/05/2021,450024
3/06/2021,414511
3/07/2021,373909
3/08/2021,304458
3/09/2021,414245
3/10/2021,458917
3/11/2021,490357
3/12/2021,489778
3/13/21,456167
3/14/21,365190
3/15/21,352955
3/16/21,466620
3/17/21,545642
3/18/21,548610
3/19/21,563215
3/20/21,499215
3/21/21,439439
3/22/21,419912
3/23/21,507083
3/24/21,629787
3/25/21,652012
3/26/21,640686
3/27/21,585063
3/28/21,491976
3/29/21,458969
3/30/21,561541
3/31/21,674889
4/01/2021,710038
4/02/2021,644719
4/03/2021,540914
4/04/2021,559343
4/05/2021,495159
4/06/2021,606591
4/07/2021,664276
4/08/2021,836359
4/09/2021,747483
4/10/2021,671385
4/11/2021,708524
4/12/2021,612731
4/13/21,764332
4/14/21,812602
4/15/21,820465
4/16/21,860182
4/17/21,793782
4/18/21,699838
4/19/21,689742
4/20/21,839710
4/21/21,889209
4/22/21,899883
4/23/21,907532
4/24/21,824600
4/25/21,728729
4/26/21,687767
4/27/21,839496
4/28/21,898625
4/29/21,895027
4/30/21,891776
5/01/2021,794958
5/02/2021,687177
5/03/2021,689173
5/04/2021,785654
5/05/2021,842368
5/06/2021,872575
5/07/2021,834989
5/08/2021,788942
5/09/2021,649305
5/10/2021,624924
5/11/2021,726172
5/12/2021,767929
5/13/21,735306
5/14/21,709926
5/15/21,631818
5/16/21,546574
5/17/21,543063
5/18/21,619772
5/19/21,672794
5/20/21,282117
5/21/21,626479
5/22/21,572645
5/23/21,481525
5/24/21,450696
5/25/21,534333
5/26/21,568588
5/27/21,547176
5/28/21,505618
5/29/21,480560
5/30/21,390098
5/31/21,386825
6/01/2021,460010
6/02/2021,487647
6/03/2021,480786
6/04/2021,425237
6/05/2021,396939
6/06/2021,323224
6/07/2021,321686
6/08/2021,370799
6/09/2021,418539
6/10/2021,453496
6/11/2021,422559
6/12/2021,368598
6/13/21,302998
6/14/21,309459
6/15/21,374920
6/16/21,388976
6/17/21,396301
6/18/21,403430
6/19/21,348466
6/20/21,303437
6/21/21,296606
6/22/21,410295
6/23/21,397054
6/24/21,409371
6/25/21,417995
6/26/21,363193
6/27/21,311045
6/28/21,333115
6/29/21,381426
6/30/21,399421
7/01/2021,435691
7/02/2021,442404
7/03/2021,374560
7/04/2021,328225
7/05/2021,376681
7/06/2021,450626
7/07/2021,465043
7/08/2021,481803
7/09/2021,513893
7/10/2021,422048
7/11/2021,370559
7/12/2021,432252
7/13/21,525966
7/14/21,537950
7/15/21,576445
7/16/21,596020
7/17/21,490517
7/18/21,421314
7/19/21,486293
7/20/21,532564
7/21/21,555775
7/22/21,565365
7/23/21,728208
7/24/21,433105
7/25/21,446273
7/26/21,538168
7/27/21,606664
7/28/21,650025
7/29/21,643051
7/30/21,732596
7/31/21,518914
8/01/2021,484178
8/02/2021,567496
8/03/2021,634521
8/04/2021,680337
8/05/2021,685358
8/06/2021,819709
8/07/2021,563545
8/08/2021,469905
8/09/2021,614085
8/10/2021,645846
8/11/2021,730595
8/12/2021,705984
8/13/21,801961
8/14/21,557372
8/15/21,470199
8/16/21,654967
8/17/21,682144
8/18/21,735976
8/19/21,711973
8/20/21,785240
8/21/21,565863
8/22/21,453763
8/23/21,671056
8/24/21,676597
8/25/21,737209
8/26/21,736285
8/27/21,751555
8/28/21,566201
8/29/21,453991
8/30/21,654245
8/31/21,621280
9/01/2021,719339
9/02/2021,676326
9/03/2021,724131
9/04/2021,506091
9/05/2021,455936
9/06/2021,459253
9/07/2021,656254
9/08/2021,637026
9/09/2021,639931
9/10/2021,659246
9/11/2021,478172
9/12/2021,376964
9/13/21,562162
9/14/21,550650
9/15/21,567163
9/16/21,587119
9/17/21,623393
9/18/21,531037
9/19/21,369003
9/20/21,516315
9/21/21,489322
9/22/21,534706
9/23/21,547720
9/24/21,549275
9/25/21,380018
9/26/21,361904
9/27/21,469799
9/28/21,451389
9/29/21,490623
9/30/21,489397
10/01/2021,522226
10/02/2021,357158
10/03/2021,314310
10/04/2021,434523
10/05/2021,422698
10/06/2021,507444
10/07/2021,461445
10/08/2021,476083
10/09/2021,347430
10/10/2021,322387
10/11/2021,374665
10/12/2021,438404
10/13/21,457115
10/14/21,453543
10/15/21,458813
10/16/21,350797
10/17/21,320151
10/18/21,410182
10/19/21,432226
10/20/21,476236
10/21/21,462440
10/22/21,492886
10/23/21,383522
10/24/21,320844
10/25/21,426221
10/26/21,426148
10/27/21,514688
10/28/21,483191
10/29/21,496124
10/30/21,394083
10/31/21,363545
11/01/2021,421150
11/02/2021,404085
11/03/2021,524432
11/04/2021,519913
11/05/2021,524286
11/06/2021,437442
11/07/2021,360764
11/08/2021,471036
11/09/2021,467341
11/10/2021,577129
11/11/2021,520821
11/12/2021,597868
11/13/21,441043
11/14/21,378500
11/15/21,526460
11/16/21,505474
11/17/21,618817
11/18/21,621514
11/19/21,616143
11/20/21,500334
11/21/21,420663
11/22/21,601569
11/23/21,590298
11/24/21,661032
11/25/21,598415
11/26/21,610301
11/27/21,483467
11/28/21,430475
11/29/21,630885
11/30/21,600229
12/01/2021,704827
12/02/2021,706022
12/03/2021,729396
12/04/2021,535197
12/05/2021,459360
12/06/2021,598992
12/07/2021,640334
12/08/2021,713055
12/09/2021,697297
12/10/2021,693570
12/11/2021,520644
12/12/2021,455719
12/13/21,610671
12/14/21,638193
12/15/21,739420
12/16/21,742679
12/17/21,767540
12/18/21,570253
12/19/21,512389
12/20/21,736546
12/21/21,756406
12/22/21,910544
12/23/21,1006758
12/24/21,891822
12/25/21,702124
12/26/21,580075
12/27/21,1268220
12/28/21,1326573
12/29/21,1696421
12/30/21,1942505
12/31/21,1745976
1/01/2022,1225594
1/02/2022,919999
1/03/2022,2359253
1/04/2022,2500045
1/05/2022,2574149
1/06/2022,2658024
1/07/2022,2943841
1/08/2022,2179035
1/09/2022,2036031
1/10/2022,3188267
1/11/2022,3031946
1/12/2022,3452991
1/13/22,3181949
1/14/22,3315952
1/15/22,2496867
1/16/22,2177931
1/17/22,2661266
1/18/22,3760736
1/19/22,4089128
1/20/22,3705590
1/21/22,3835764
1/22/22,2789110
1/23/22,2456624
1/24/22,3422497
1/25/22,3651068
1/26/22,3662337
1/27/22,3756378
1/28/22,3620059
1/29/22,2741030
1/30/22,2316632
1/31/22,3486726
2/01/2022,3160516
2/02/2022,3188562
2/03/2022,3172678
2/04/2022,2944726
2/05/2022,2299834
2/06/2022,1872005
2/07/2022,2596126
2/08/2022,2624775
2/09/2022,2438686
2/10/2022,2779984
2/11/2022,2421681
2/12/2022,1919405
2/13/22,1517487
2/14/22,1699480
2/15/22,1879558
2/16/22,2237491
2/17/22,2056987
2/18/22,1979238
2/19/22,1628558
2/20/22,1325264
2/21/22,1395936
2/22/22,1712076
2/23/22,1927037
2/24/22,1768118
2/25/22,1636804
2/26/22,1429147
2/27/22,1146856
2/28/22,1358794
3/01/2022,1623755
3/02/2022,1660485
3/03/2022,1756285
3/04/2022,1753846
3/05/2022,1469664
3/06/2022,1212355
3/07/2022,1422837
3/08/2022,1750798
3/09/2022,1839344
3/10/2022,1860908
3/11/2022,1850430
3/12/2022,1748360
3/13/22,1281324
3/14/22,1629381
3/15/22,1802507
3/16/22,2223448
3/17/22,2052915
3/18/22,1913729
3/19/22,1709103
3/20/22,1070144
3/21/22,1470643
3/22/22,1975438
3/23/22,1772980
3/24/22,1751391
3/25/22,1841117
3/26/22,1356536
3/27/22,911978
3/28/22,1492746
3/29/22,1748863
3/30/22,1592436
3/31/22,1846232
4/01/2022,1164899
4/02/2022,1048652
4/03/2022,789234
4/04/2022,905566
4/05/2022,1358791
4/06/2022,1454049
4/07/2022,1216149
4/08/2022,1193410
4/09/2022,772076
4/10/2022,568570
4/11/2022,973378
4/12/2022,1079411
4/13/22,1040216
4/14/22,969535
4/15/22,710861
4/16/22,555107
4/17/22,421446
4/18/22,477087
4/19/22,985710
4/20/22,963936
4/21/22,910666
4/22/22,798992
4/23/22,517000
4/24/22,378942
4/25/22,576098
4/26/22,664830
4/27/22,844207
4/28/22,714347
4/29/22,624037
4/30/22,395044
